PK208,19-Jan-18,300,NV847,I,773,20-Jan-18,2300,NV690,I,TZE,TGP,T2
PK062,19-Jan-18,895,GN0523,D,73E,20-Jan-18,2420,GN0256,D,NJH,ZDV,T7
PK072,19-Jan-18,935,GN0497,D,73L,20-Jan-18,2465,GN0644,D,OOH,YNO,T8
PK089,19-Jan-18,990,NV663,I,33H,20-Jan-18,2250,NV692,I,MIS,ZWS,T3
PK094,19-Jan-18,1015,NV693,I,33H,20-Jan-18,2220,NV662,I,ZWS,MIS,T4
PK102,19-Jan-18,1055,GN0209,D,73A,20-Jan-18,2270,GN0658,D,BPH,UHP,T9
PK104,19-Jan-18,1070,NV697,I,773,20-Jan-18,1460,NV840,I,MBY,NFM,T5
PK106,19-Jan-18,1075,NV6489,D,773,20-Jan-18,1495,NV880,I,TZY,BLM,T6
PK107,19-Jan-18,1080,NV601,I,773,20-Jan-18,1445,NV664,I,TGP,DEH,T23
PK108,19-Jan-18,1085,NV821,I,33H,20-Jan-18,1460,NV608,I,NBE,ZWS,T24
PK112,19-Jan-18,1100,NV6253,D,320,20-Jan-18,2050,NV316,I,MMW,DOY,T20
PK117,19-Jan-18,1115,NV6779,D,320,20-Jan-18,1905,NV6738,D,EMD,EMD,T10
PK129,19-Jan-18,1160,NV319,I,773,20-Jan-18,1445,NV846,I,ZZA,TZE,T25
PK131,19-Jan-18,1170,NV673,I,33E,20-Jan-18,1450,NV320,I,TZE,GSB,T26
PK136,19-Jan-18,1190,NV6753,D,319,20-Jan-18,1935,NV6358,D,EMD,EBU,T11
PK142,19-Jan-18,1210,GN0237,D,73H,20-Jan-18,2080,GN920,I,SJA,UTB,T21
PK144,19-Jan-18,1210,NV621,I,325,20-Jan-18,1550,NV322,I,ILH,NOM,T1
PK145,19-Jan-18,1210,NV6317,D,319,20-Jan-18,2275,NV6540,D,ITO,UTO,T12
PK147,19-Jan-18,1215,NV6725,D,320,20-Jan-18,1940,NV6724,D,ISC,ISC,T13
PK148,19-Jan-18,1220,NV6549,D,319,20-Jan-18,2010,NV306,I,OBP,LJK,T22
PK149,19-Jan-18,1225,NV317,I,320,20-Jan-18,1455,NV6134,I,DOY,DFC,S11
PK150,19-Jan-18,1225,NV3278,D,325,20-Jan-18,1840,NV3446,D,YJZ,YJZ,T14
PK151,19-Jan-18,1230,NV6117,I,33E,20-Jan-18,2045,NV866,D,UQF,LNH,T0
PK155,19-Jan-18,1245,NV6375,D,323,20-Jan-18,1980,NV6230,D,ZOU,QFL,T15
PK156,19-Jan-18,1260,NV6495,D,320,20-Jan-18,1920,NV6154,I,AZJ,QVT,T0
PK159,19-Jan-18,1265,NV651,I,33E,20-Jan-18,2190,NV898,I,IOE,GDP,T27
PK165,19-Jan-18,1280,NV6699,D,320,20-Jan-18,1975,NV336,I,GPD,LJY,T0
PK168,19-Jan-18,1300,NV6241,D,325,20-Jan-18,2005,NV6376,D,QFL,CIZ,T16
PK170,19-Jan-18,1310,NV3270,D,321,20-Jan-18,1925,NV3263,D,YJZ,YJZ,T17
PK171,19-Jan-18,1310,NV6319,D,73E,20-Jan-18,1950,NV6734,D,MAI,EMD,T18
PK173,19-Jan-18,1320,GN0541,D,738,20-Jan-18,1840,GN0480,D,IOZ,LXM,T19
PK174,19-Jan-18,1320,NV6405,D,320,20-Jan-18,2035,NV3280,D,DHP,ZOU,S1
PK175,19-Jan-18,1325,GN0489,D,73E,20-Jan-18,1890,GN0282,D,LXM,ISC,S2
PK177,19-Jan-18,1325,NV6769,D,320,20-Jan-18,1955,NV612,I,IEH,ILH,T0
